,onset,offset,min_duration_on,min_duration_off,precision,recall,f1_score
51,0.2,0.1,0.1,1.2,0.8045884278946167,0.8332695312347416,0.795566242854034
52,0.2,0.1,0.2,0.5,0.8149789113897314,0.8216975852544947,0.7958737694350445
53,0.2,0.1,0.2,0.8,0.8075714054907897,0.8252422917743901,0.7932111213188413
54,0.2,0.1,0.2,1.0,0.807254781621995,0.8308570263636555,0.7960130159804238
55,0.2,0.1,0.2,1.2,0.8055936936900578,0.8327140680316053,0.7955873062173293
56,0.2,0.1,0.5,0.5,0.8234820234349743,0.8200928462122348,0.7984310366312828
57,0.2,0.1,0.5,0.8,0.8134486200885437,0.8238585166873851,0.7948767540048961
58,0.2,0.1,0.5,1.0,0.8131846896744445,0.8301094435480926,0.7982594829493066
59,0.2,0.1,0.5,1.2,0.8115236017425072,0.8319664852160423,0.7978337731862121
60,0.2,0.2,0.1,0.5,0.8559143278002737,0.7891118636526113,0.796823752761882
61,0.2,0.2,0.1,0.8,0.8383123755176881,0.792832122993412,0.7900703259425279
62,0.2,0.2,0.1,1.0,0.8337952644910273,0.7994985773178935,0.7908897557920114
63,0.2,0.2,0.1,1.2,0.8331237623739511,0.8041294959281322,0.7932036216167364
64,0.2,0.2,0.2,0.5,0.859882182412482,0.7885689199685131,0.7979804282219471
65,0.2,0.2,0.2,0.8,0.8415174139298087,0.7922891793093138,0.7908673932083911
66,0.2,0.2,0.2,1.0,0.8368200491974328,0.7992702211745751,0.7917854587747527
67,0.2,0.2,0.2,1.2,0.8360711146934192,0.8039011397848137,0.7941031081731132
68,0.2,0.2,0.5,0.5,0.8789681617226458,0.796401897896033,0.8106847371220948
69,0.2,0.2,0.5,0.8,0.8565717711262353,0.8005074722574506,0.8024349778415004
70,0.2,0.2,0.5,1.0,0.8510210133739742,0.807488514122712,0.802872875284777
71,0.2,0.2,0.5,1.2,0.85031219812754,0.8124964355604716,0.8055602580046056
72,0.2,0.3,0.1,0.5,0.8581452141764382,0.7866290608245999,0.7963401800740545
73,0.2,0.3,0.1,0.8,0.8404554286289819,0.790363130412604,0.7897063273181127
74,0.2,0.3,0.1,1.0,0.8351528519440479,0.7961409410994591,0.7894200981229434
75,0.2,0.3,0.1,1.2,0.8352934143208518,0.8017829972250824,0.7930124478512534
76,0.2,0.3,0.2,0.5,0.8611357405521082,0.7859450973819112,0.7968909275043532
77,0.2,0.3,0.2,0.8,0.8427787452025894,0.7898551408997033,0.7900928918323099
78,0.2,0.3,0.2,1.0,0.8372960903694109,0.7959125849561406,0.7898847113582125
79,0.2,0.3,0.2,1.2,0.8373642256331825,0.801554641081764,0.7934806581717072
80,0.2,0.3,0.5,0.5,0.8800454969575575,0.7933594010196913,0.8092126750572138
81,0.2,0.3,0.5,0.8,0.8577629995895596,0.797448977751128,0.8011522016382926
82,0.2,0.3,0.5,1.0,0.8513981616500371,0.8035064218075655,0.8004379735336795
83,0.2,0.3,0.5,1.2,0.8515505144128153,0.8095019180839899,0.8044241205414356
84,0.2,0.5,0.1,0.5,0.8580343570756507,0.7868410062853465,0.7964934668626378
85,0.2,0.5,0.1,0.8,0.8399909767768922,0.790595835522743,0.7896089608240662
86,0.2,0.5,0.1,1.0,0.8350421564612186,0.7941157188615882,0.7882444636361832
87,0.2,0.5,0.1,1.2,0.8347078916158172,0.8020572065816834,0.7928343248583635
88,0.2,0.5,0.2,0.5,0.8609858875669377,0.7861570428426577,0.7970399161304076
89,0.2,0.5,0.2,0.8,0.8422775022549974,0.7900878460098426,0.7899922502855017
90,0.2,0.5,0.2,1.0,0.8371458511960681,0.7938873627182698,0.7887056721065955
91,0.2,0.5,0.2,1.2,0.8367409475300279,0.801828850438365,0.7932989847625551
92,0.2,0.5,0.5,0.5,0.8799190238976246,0.7935713464804379,0.8093791639071415
93,0.2,0.5,0.5,0.8,0.8572680518764971,0.7976816828612673,0.8010627125753349
94,0.2,0.5,0.5,1.0,0.8512548312557955,0.8014811995696945,0.7992700271317268
95,0.2,0.5,0.5,1.2,0.8509350040419826,0.809776127440591,0.8042537953259888
96,0.4,0.1,0.1,0.5,0.8610488154118294,0.7446029917880517,0.7725047988134116
